id,user,uid,version,changeset,timestamp
24444927,JLZIMMERMANN,188930,12,66509712,2019-01-21T16:13:41Z
24444928,sigmun84,4507136,8,61009814,2018-07-24T07:21:05Z
24455484,krysst,16038,10,8053779,2011-05-05T00:36:07Z
24470624,Patchi,591881,14,24628562,2014-08-09T06:51:04Z
24500094,Olyon,1443767,21,62316376,2018-09-05T15:38:39Z
24500137,Binnette,918586,22,92470884,2020-10-14T11:48:26Z
24500139,Binnette,918586,12,92470884,2020-10-14T11:48:26Z
24500148,fk13,3152918,9,41609311,2016-08-22T08:39:19Z
24500152,fk13,3152918,19,63933051,2018-10-27T17:12:11Z
24687128,Jean François Vole,9451247,9,74219869,2019-09-08T06:57:16Z
24689014,JLZIMMERMANN,188930,17,74626124,2019-09-18T13:07:12Z
25213673,krysst,16038,7,36055932,2015-12-19T23:59:40Z
25213681,Jean François Vole,9451247,8,74230068,2019-09-08T15:57:56Z
25213750,krysst,16038,7,36055932,2015-12-19T23:59:40Z
25213776,krysst,16038,5,36055932,2015-12-19T23:59:33Z
25397493,nivram117,3529033,20,85435914,2020-05-19T10:46:27Z
25397654,krysst,16038,7,1364260,2009-05-30T23:33:28Z
25397655,Kalaallit Nunaat,400383,11,76809349,2019-11-08T12:38:24Z
25397683,Stéphane Péchard,98682,8,3601895,2010-01-12T10:41:03Z
25398669,krysst,16038,7,6898922,2011-01-08T00:22:42Z
25410501,Pa413,688484,14,11986559,2012-06-23T08:51:26Z
25410502,Hotbelgo,51650,8,30184431,2015-04-13T11:00:34Z
25410505,Hotbelgo,51650,11,30184412,2015-04-13T10:59:44Z
25410574,la colle,530603,10,28228417,2015-01-18T11:46:18Z
25410608,la colle,530603,7,28228417,2015-01-18T11:46:18Z
25410618,la colle,530603,3,28228417,2015-01-18T11:46:18Z
25410625,Patchi,591881,9,29049689,2015-02-23T17:41:59Z
25410664,zerpou,1238664,4,17470025,2013-08-23T13:34:06Z
25410689,krysst,16038,2,13420061,2012-10-08T23:27:28Z
25410695,zerpou,1238664,7,17470025,2013-08-23T13:34:07Z
25410696,zerpou,1238664,4,17470025,2013-08-23T13:34:06Z
25410697,zerpou,1238664,4,17470025,2013-08-23T13:34:06Z
25410698,zerpou,1238664,7,17469964,2013-08-23T13:29:07Z
25410699,zerpou,1238664,5,17470025,2013-08-23T13:34:07Z
25410704,Pa413,688484,8,69085815,2019-04-10T14:43:36Z
25410707,zerpou,1238664,2,17470025,2013-08-23T13:34:07Z
25410732,Kryll,10873340,6,81932293,2020-03-08T19:55:45Z
25410733,zerpou,1238664,3,17469964,2013-08-23T13:29:07Z
25410749,krysst,16038,5,13420061,2012-10-08T23:30:36Z
25410754,krysst,16038,4,13420061,2012-10-08T23:32:44Z
25410756,zerpou,1238664,5,17469964,2013-08-23T13:29:06Z
25410760,Mariusz Staniszewski,2044927,3,56276852,2018-02-11T22:28:25Z
25410769,tpol,8414835,7,59901550,2018-06-16T20:05:07Z
25410770,zerpou,1238664,5,17470057,2013-08-23T13:36:12Z
25410772,Spec80,1869287,2,26506898,2014-11-02T16:24:31Z
25410993,Pa413,688484,17,69086959,2019-04-10T15:19:50Z
25411018,cabinetcourbi,6231864,8,68696339,2019-03-30T12:40:27Z
25411019,NikoJorj,8777119,15,62523895,2018-09-12T15:12:16Z
25411036,joedal-osm,420883,8,16011942,2013-05-07T14:25:01Z
25411040,fk13,3152918,5,33683377,2015-08-30T14:12:13Z
25411041,fk13,3152918,5,33683377,2015-08-30T14:12:14Z
25411048,Pa413,688484,13,69086959,2019-04-10T15:19:50Z
25411057,Jean François Vole,9451247,10,73372614,2019-08-15T07:58:47Z
26453315,Jepau,309210,6,18183944,2013-10-04T18:54:03Z
26453316,fk13,3152918,7,63933051,2018-10-27T17:12:12Z
26453317,krysst,16038,4,1364260,2009-05-30T23:33:34Z
26453318,fk13,3152918,5,63933051,2018-10-27T17:12:12Z
26453319,Stéphane Péchard,98682,5,3601895,2010-01-12T10:41:03Z
26453322,Georges EXTRAT,8818722,12,63979470,2018-10-29T14:09:07Z
26453323,Kalaallit Nunaat,400383,9,76809349,2019-11-08T12:38:24Z
26453324,RatZillaS,24207,6,834642,2009-03-19T23:46:48Z
26453325,joedal-osm,420883,4,12204037,2012-07-13T08:32:52Z
26453387,Stéphane Péchard,98682,4,3601895,2010-01-12T10:41:02Z
26453388,Stéphane Péchard,98682,5,3601895,2010-01-12T10:41:03Z
26475702,A FRISETTI,4023601,28,42115592,2016-09-13T04:45:36Z
26528972,F5ZV,4189749,9,92044962,2020-10-06T11:19:37Z
26528973,F5ZV,4189749,7,92044464,2020-10-06T11:13:25Z
26531709,BTH,481447,7,55158154,2018-01-04T13:39:30Z
26531710,ekkakkas,8476260,8,66186541,2019-01-10T08:13:41Z
26531711,BTH,481447,6,55158188,2018-01-04T13:40:39Z
26764389,Jean François Vole,9451247,11,74230639,2019-09-08T16:19:29Z
27248750,zerpou,1238664,5,17470057,2013-08-23T13:36:12Z
27440096,nivram117,3529033,14,85433355,2020-05-19T10:06:00Z
27440098,cabinetcourbi,6231864,4,69055559,2019-04-09T17:34:27Z
27440102,Jepau,309210,6,18151995,2013-10-02T21:37:59Z
27440103,Jepau,309210,10,18151995,2013-10-02T21:37:59Z
27440106,nivram117,3529033,9,85984855,2020-05-30T15:15:41Z
27440108,nivram117,3529033,6,85984855,2020-05-30T15:15:41Z
27440109,Hotbelgo,51650,13,8902446,2011-08-02T16:06:03Z
27440111,nivram117,3529033,13,85984855,2020-05-30T15:15:41Z
27440112,nivram117,3529033,18,85436504,2020-05-19T10:56:23Z
27440133,nivram117,3529033,19,85984855,2020-05-30T15:15:41Z
27440134,nivram117,3529033,13,85984855,2020-05-30T15:15:41Z
